"id","artist_id","title","merch_type","description","price","image_url","stock_quantity","is_available","created_at","updated_at","demos"
"1",20,"Whitney Houston","T-Shirt and Hat","","10.00","https://res.cloudinary.com/webprojectimages/image/upload/v1760972691/SoulFeltMusic/SoulFeltMusicImages/DemoImages/ArtistImagesDemo/cd4d81c1574740e60bef5a5ee0362196.png",1,1,"","",1
"2",21,"Alsou","T-shirt","","7.00","https://res.cloudinary.com/webprojectimages/image/upload/v1760973707/SoulFeltMusic/SoulFeltMusicImages/DemoImages/ArtistImagesDemo/59f354c959d77755ffe91ad1bfb74674.png",1,1,"","",1
"3",21,"Alsou","Hat","","5.00","https://res.cloudinary.com/webprojectimages/image/upload/v1760973773/SoulFeltMusic/SoulFeltMusicImages/DemoImages/ArtistImagesDemo/54530b38d82883a4ca80cecbc4b5c1c9.png",2,1,"","",1
"4",22,"Anthony Brown","T-Shirt and hat","","15.00","https://res.cloudinary.com/webprojectimages/image/upload/v1760973924/SoulFeltMusic/SoulFeltMusicImages/DemoImages/ArtistImagesDemo/6ff2a7b1fba13ce6546459f395b0ce59.png",3,1,"","",1
"5",23,"BabyFace","Shirt and Hats","","15.00","https://res.cloudinary.com/webprojectimages/image/upload/v1760974067/SoulFeltMusic/SoulFeltMusicImages/DemoImages/ArtistImagesDemo/323581ac498be056e7c26522ed9ba711.png",2,1,"","",1
"6",24,"Britney Spears","Shirt and Hat","","10.50","https://res.cloudinary.com/webprojectimages/image/upload/v1760974156/SoulFeltMusic/SoulFeltMusicImages/DemoImages/ArtistImagesDemo/516a3114fa8b7c60157d72d0bff0cffc.png",3,1,"","",1
"7",25,"Deangelo","Shirt and hat","","10.00","https://res.cloudinary.com/webprojectimages/image/upload/v1760974238/SoulFeltMusic/SoulFeltMusicImages/DemoImages/ArtistImagesDemo/f8259b840a1b1c6278b3082fc674595b.png",3,1,"","",1
"8",25,"Deangelo","Hat","","10.00","https://res.cloudinary.com/webprojectimages/image/upload/v1760974292/SoulFeltMusic/SoulFeltMusicImages/DemoImages/ArtistImagesDemo/7148d4d14e87029762bf35596ad29985.png",2,1,"","",1
"9",26,"Alexis FFrench","hat","","10.00","https://res.cloudinary.com/webprojectimages/image/upload/v1760974359/SoulFeltMusic/SoulFeltMusicImages/DemoImages/ArtistImagesDemo/895c13c0fbb711e89374505eaa9567f3.png",3,1,"","",1
"10",26,"Alexis FFrench","Shirt","","15.00","https://res.cloudinary.com/webprojectimages/image/upload/v1760974421/SoulFeltMusic/SoulFeltMusicImages/DemoImages/ArtistImagesDemo/880a06d55d89029bc29b38d09e836366.png",4,"","","",1
"11",27,"Great Soul","T-shirts and Hats","","15.00","https://res.cloudinary.com/webprojectimages/image/upload/v1760974494/SoulFeltMusic/SoulFeltMusicImages/DemoImages/ArtistImagesDemo/80ae5deabed62ea36fd389fc69c36bd5.png",1,1,"","",1
"12",28,"Lionel Richie","T-shirts and Hat","","15.00","https://res.cloudinary.com/webprojectimages/image/upload/v1760974606/SoulFeltMusic/SoulFeltMusicImages/DemoImages/ArtistImagesDemo/5e3840d9df0a7630f4bb661b05abc61a.png",3,1,"","",1
"13",28,"Lionel Riche","hat","","10.00","https://res.cloudinary.com/webprojectimages/image/upload/v1760974681/SoulFeltMusic/SoulFeltMusicImages/DemoImages/ArtistImagesDemo/8669f8a2a4381d1677d383221bd220b5.png",3,1,"","",1
"14",29,"Luther Vandross","T-shirt and Hats","","15.00","https://res.cloudinary.com/webprojectimages/image/upload/v1760974494/SoulFeltMusic/SoulFeltMusicImages/DemoImages/ArtistImagesDemo/80ae5deabed62ea36fd389fc69c36bd5.png",3,1,"","",1
"15",30,"Mary j Blidge","T-shirt and hat","","15.00","https://res.cloudinary.com/webprojectimages/image/upload/v1760974494/SoulFeltMusic/SoulFeltMusicImages/DemoImages/ArtistImagesDemo/80ae5deabed62ea36fd389fc69c36bd5.png",4,1,"","",1
"16",31,"Michael Jackson","T-shirt and Hat","","15.00","https://res.cloudinary.com/webprojectimages/image/upload/v1760974494/SoulFeltMusic/SoulFeltMusicImages/DemoImages/ArtistImagesDemo/80ae5deabed62ea36fd389fc69c36bd5.png",5,1,"","",1
"17",32,"Samantha Mumba","T-shirt and hats","","15.00","https://res.cloudinary.com/webprojectimages/image/upload/v1760974494/SoulFeltMusic/SoulFeltMusicImages/DemoImages/ArtistImagesDemo/80ae5deabed62ea36fd389fc69c36bd5.png",3,1,"","",1
"18",33,"Spice Gilrs","T-shirts and Hats","","15.00","https://res.cloudinary.com/webprojectimages/image/upload/v1760974494/SoulFeltMusic/SoulFeltMusicImages/DemoImages/ArtistImagesDemo/80ae5deabed62ea36fd389fc69c36bd5.png",4,1,"","",1
"19",34,"Stevie Wonder","T-shirts and hats","","15.00","https://res.cloudinary.com/webprojectimages/image/upload/v1760974494/SoulFeltMusic/SoulFeltMusicImages/DemoImages/ArtistImagesDemo/80ae5deabed62ea36fd389fc69c36bd5.png",3,1,"","",1
"20",35,"Usher","T- shirt and hats","","15.00","https://res.cloudinary.com/webprojectimages/image/upload/v1760974494/SoulFeltMusic/SoulFeltMusicImages/DemoImages/ArtistImagesDemo/80ae5deabed62ea36fd389fc69c36bd5.png",2,1,"","",1
