"id","track_id","video_url","promo","activate","demos","release_date","title","video_url_public_identifier","video_description","tags","file_size","format","genre","artist_id","album_id","artist_image_id"
"17",1,"https://www.youtube.com/watch?v=0YjSHbA6HQQ&list=RD0YjSHbA6HQQ&start_radio=1","0",0,1,"2025-10-12","So Emotional ","","","","","","pop soul",20,107,""
"18",2,"https://www.youtube.com/watch?v=oCLnpQcqBAo&list=RDoCLnpQcqBAo&start_radio=1","0",0,1,"2025-10-12","Before you love me ","","empty","","","","Pop",21,108,""
"19",3,"https://www.youtube.com/watch?v=6Pm8ika_xCY&list=RD6Pm8ika_xCY&start_radio=1","0",0,1,"2025-10-12","Everyday Jesus","","empty","","","","gospel",22,108,""
"20",4,"https://www.youtube.com/watch?v=aFrdgZ4echY&list=PLnuHwzS0AZ1mPbn7BUFjIeSjHil_yyEgM&index=14","0",0,1,"2025-10-12","Whip Appeal","","","","","","soul",23,110,""
"21",5,"https://www.youtube.com/watch?v=C-u5WLJ9Yk4&list=RDC-u5WLJ9Yk4&start_radio=1","0",0,1,"2025-10-12","Baby one more time","","","","","","pop",24,111,""
"22",6,"https://www.youtube.com/watch?v=H_WzjiTzZBA&list=RDH_WzjiTzZBA&start_radio=1","0",0,1,"2025-10-12","Brown Sugar","","","","","","soul","",112,""
"23",7,"https://www.youtube.com/watch?v=MYycDyAxgb0&list=PLesydLs-NkJ-UtmpLJeD3Kdzt1xqB48Nq","0",0,1,"2025-10-12","One in a Million","","","","","","soul",25,114,""
"24",8,"https://www.youtube.com/watch?v=tCvzjsq85B0","0",0,1,"2025-10-12","Great Soul Classic","","","","","","instrumental soul",26,113,""
"25",9,"https://www.youtube.com/watch?v=ovo6zwv6DX4&list=RDovo6zwv6DX4&start_radio=1","0",0,1,"2025-10-12","Dancing on the ceiling","","","","","","pop ",28,115,""
"26",10,"https://www.youtube.com/watch?v=pNj9bXKGOiI&list=RDpNj9bXKGOiI&start_radio=1","0",0,1,"2025-10-12","Never too much","","","","","","rnb soul",29,116,""
"27",11,"https://www.youtube.com/watch?v=em328ua_Lo8&list=RDem328ua_Lo8&start_radio=1","0",0,1,"2025-10-12","No more drama","","","","","","rnb ",30,117,""
"28",12,"https://www.youtube.com/watch?v=4V90AmXnguw&list=RD4V90AmXnguw&start_radio=1","0",0,1,"2025-10-12","Thriller","","","","","","pop",31,118,""
"29",13,"https://www.youtube.com/watch?v=wZ_SpYYZ-wk&list=RDwZ_SpYYZ-wk&start_radio=1","0",0,1,"2025-10-12","Gotta tell you","","","","","","pop",32,119,""
"30",14,"https://www.youtube.com/watch?v=v1MTKS-1OHU&list=PLF0AhMBAen_tbiM5nvxwzfRGzp1GUm__I","0",0,0,"2025-10-12","Forever","","","","","","pop",33,120,""
"31",15,"https://www.youtube.com/watch?v=-bnx_Qwy7w4&list=PLH_QLWlQVieXC4USNqUc0tdv1EwRxlJC0&index=2","0",0,1,"2025-10-12","All I do","","","","","","soul",34,121,""
"32",16,"https://www.youtube.com/watch?v=3AszPTJXIgM&list=RD3AszPTJXIgM&start_radio=1","0",0,1,"2025-10-12","You Don't have to call","","","","","","pop rnb",35,122,""
